ameliorer_cdiscount
Rien
Rien
Ergonomie / Design / UX UI
Service client / SAV
Ergonomie / Design / UX UI
Système de recherche
Délais de livraisons
Ergonomie / Design / UX UI
Rien
Ergonomie / Design / UX UI
Ergonomie / Design / UX UI
Ergonomie / Design / UX UI
Ergonomie / Design / UX UI
Ergonomie / Design / UX UI
Gestion des stocks
Prix de livraisons
Application mobile
Ergonomie / Design / UX UI
Prix des articles
Communication
Ergonomie / Design / UX UI
Ergonomie / Design / UX UI
Service client / SAV
Promotions
Rien
Service client / SAV
Ergonomie / Design / UX UI
Promotions
Ergonomie / Design / UX UI
Prix
Délais de livraison
Ergonomie / Design / UX UI
Rien 
Ergonomie / Design / UX UI
Rien 
Rien 
Prix de livraisons
Fournisseurs
Application mobile
