age
24
22
25
23
24
21
23
23
25
25
29
28
24
23
25 
20
28
24
40
25
24
25
41
23
25
24
25
20
42
24
52
25
25
28
38
43
60
12 
26
25
32
24
36
28
22
23
36
23
28
22
25
41
53
25
21
27
25
27
21
27
20
40
57
77
44
21
23
24
36
22
40
23
19
25
23
39
65 
29
43
76
23
26
18
25
22
39
22
24
24
30
22
50
20
24
20
24
20
24
30
23
22
25
23
24
23
18
