pb_rencontre_cdiscount
Aucun
Aucun
J'ai rencontré un retard lors d'une livraison.
Le service client m'a déplu.
Aucun
Aucun
Non
J'ai rencontré un retard lors d'une livraison.
Le service client m'a déplu.
L'ergonomie du site me déplait.
Aucun
Aucun
Aucun
L'ergonomie du site me déplait.
Aucun
Aucun
Aucun
Aucun
Aucun
Aucun
Aucun
Aucun
Aucun
J'ai eu des problèmes avec le service de livraison.
Aucun
Aucun
Aucun
Aucun
L'ergonomie du site me déplait.
Aucun
Aucun
Aucun
J'ai eu des problèmes avec le service de livraison.
Aucun
Aucun
Aucun
J'ai rencontré un retard lors d'une livraison.
L'ergonomie du site me déplait.
Aucun
Aucun
J'ai rencontré un retard lors d'une livraison.
Aucun
Aucun
L'ergonomie du site me déplait.
Aucun
Aucun
Aucun
Aucun
Aucun
Aucun
Autre
Aucun
Aucun
Aucun
Aucun
Aucun
L'ergonomie du site me déplait.
Autre
Aucun
J'ai rencontré un retard lors d'une livraison.
Aucun
Aucun
Aucun
Aucun
J'ai rencontré un retard lors d'une livraison.
Aucun
Aucun
Aucun
Aucun
Aucun
Aucun
Le service client m'a déplu.
Aucun
Aucun
Le service client m'a déplu.
L'ergonomie du site me déplait.
Aucun
J'ai rencontré un retard lors d'une livraison.
J'ai eu des problèmes avec le service de livraison.
L'ergonomie du site me déplait.
J'ai rencontré un retard lors d'une livraison.
Aucun
Aucun
Aucun
Aucun
J'ai rencontré un retard lors d'une livraison.
Le service client m'a déplu.
L'ergonomie du site me déplait.
J'ai eu des problèmes avec le service de livraison.
J'ai rencontré un retard lors d'une livraison.
Aucun
L'ergonomie du site me déplait.
J'ai eu des problèmes avec le service de livraison.
J'ai rencontré un retard lors d'une livraison.
J'ai eu des problèmes avec le service de livraison.
Aucun
Aucun
Aucun
Aucun
J'ai rencontré un retard lors d'une livraison.
Aucun
Aucun
Aucun
L'ergonomie du site me déplait.
Aucun
Aucun
Aucun
J'ai rencontré un retard lors d'une livraison.
Aucun
L'ergonomie du site me déplait.
J'ai rencontré un retard lors d'une livraison.
J'ai eu des problèmes avec le service de livraison.
Aucun
Aucun
Le service client m'a déplu.
L'ergonomie du site me déplait.
L'ergonomie du site me déplait.

